homega,previousyeartableposition,homegf,currenttableposition,awaygf,awayga,teamshortform,hasachievedobjective,yettowin,unbeatenallcomps,unbeatenleague,champion,leagueid,prevleagueid,highestpossible,teamform,highestprobable,homewins,artificialkey,nummatchesplayed,teamid,grouping,awaywins,objective,points,actualvsexpectations,homelosses,unbeatenhome,lastgameresult,unbeatenaway,awaylosses,awaydraws,homedraws,teamlongform
22,8,17,19,15,34,26,0,0,0,0,0,32,31,4,1200,4,5,169,38,205,4,0,0,29,0,9,0,2,0,10,9,5,33
36,17,15,14,19,30,33,0,0,0,0,0,31,31,3,112,3,4,170,38,206,3,6,0,37,0,10,0,0,0,11,2,5,36
31,16,13,17,14,27,53,0,0,0,0,0,31,31,5,10122,5,4,171,38,347,5,4,0,34,0,9,0,0,0,11,4,6,30
26,13,28,10,21,26,66,0,0,0,0,0,31,32,3,22210,3,8,172,38,1745,3,5,0,49,0,6,0,2,0,9,5,5,66
26,14,10,18,23,33,40,0,0,0,0,0,32,31,4,220,4,2,173,38,1746,4,4,0,31,0,10,0,2,0,9,6,7,30
28,5,24,15,16,28,40,0,0,0,0,0,31,31,5,20020,5,6,174,38,1842,5,3,0,36,0,9,0,2,0,11,5,4,33
18,8,32,6,28,23,60,0,0,0,0,0,31,31,2,20022,2,12,175,38,110374,3,7,0,65,0,3,0,0,0,8,4,4,66
25,2,21,13,16,24,26,0,0,0,0,0,31,31,3,102,3,5,176,38,110556,3,5,0,43,0,7,0,0,0,8,6,7,36
31,11,13,20,15,38,20,0,0,0,0,0,32,31,4,200,4,1,177,38,111811,4,2,0,18,0,13,0,2,0,13,4,5,13
26,2,33,7,28,23,40,0,0,0,0,0,31,31,2,12110,3,7,178,38,115841,3,11,0,65,0,3,0,2,0,6,2,9,46
24,5,36,3,42,13,66,0,0,0,0,0,31,31,1,12220,1,9,179,38,115845,1,13,0,74,0,5,0,2,0,3,3,5,53
16,2,30,8,31,27,80,0,0,0,0,0,31,31,3,22202,3,9,180,38,131681,3,9,0,63,0,3,0,0,0,8,2,7,63
21,1,40,2,39,14,66,0,0,0,0,1,31,31,1,2212,1,13,181,38,131682,0,11,0,81,0,2,0,0,0,3,5,4,66
24,10,27,11,21,26,26,0,0,0,0,0,32,32,3,20010,3,6,182,38,1744,3,4,0,45,0,5,0,2,0,8,7,8,33
15,7,13,18,25,34,40,0,0,0,0,0,32,32,4,1121,4,6,183,38,1837,5,2,0,41,0,6,0,1,0,7,10,7,36
19,9,26,8,26,24,46,0,0,0,0,0,32,32,8,20021,8,8,184,38,1843,8,6,0,52,0,6,0,1,0,8,5,5,46
19,3,24,9,17,21,26,0,0,0,0,0,32,32,3,201,3,7,185,38,1848,8,3,0,48,0,3,0,1,0,7,9,9,33
